station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
2282,64.34,19.42,258
2284,63.26,19.41,7
2286,63.48,20.17,8
2287,63.48,20.52,8
2292,64.26,21.17,105
2293,64.37,21.05,44
2297,64.29,21.35,37
2302,61.50,12.17,665
2303,62.44,12.44,995
2307,61.53,12.51,869
2308,62.27,12.40,724
2311,61.09,13.07,744
2317,62.06,13.37,566
2319,62.45,13.51,467
2321,61.15,14.02,253
2325,62.30,14.09,803
2327,62.03,14.24,359
2329,61.40,15.00,455
2331,62.45,15.05,343
2337,62.16,15.40,320
2338,61.22,15.43,185
2343,62.30,16.17,100
2347,61.50,16.33,72
2349,62.46,16.44,205
2354,62.26,17.21,80
2355,61.42,17.32,10
2366,62.31,17.27,9
2368,62.13,17.45,18
2382,62.39,18.06,18
2403,58.42,13.07,53
2407,60.41,13.42,305
2408,59.13,12.05,171
2411,59.40,12.38,67
2413,60.45,12.46,205
2417,58.45,13.09,50
2418,59.27,13.20,100
2423,59.52,13.07,109
2426,60.09,13.48,188
2429,59.40,14.11,133
2431,59.52,15.15,284
2432,59.14,15.03,53
2435,60.26,15.30,150
2440,60.58,16.26,162
2441,60.58,14.30,197
2443,59.39,17.07,26
2449,59.23,16.27,12
2450,60.44,17.34,4
2452,59.18,14.54,219
2453,60.43,17.10,16
2456,60.14,17.54,35
2458,59.54,17.36,21
2460,59.38,17.57,28
2462,59.52,17.38,13
2464,59.22,17.54,14
2468,60.23,15.08,493
2469,59.11,17.55,45
2472,60.07,15.07,240
2476,59.03,16.24,33
2481,59.55,16.41,58
2482,60.16,16.59,57
2483,59.21,18.04,30
2484,59.21,18.04,44
2486,59.21,17.31,6
2487,59.21,18.44,22
2488,60.32,18.23,9
2489,59.04,18.07,6
2490,59.50,18.38,16
2493,59.45,19.25,15
2496,59.27,19.30,12
2498,59.27,19.30,14
2500,58.54,11.00,35
2501,58.35,11.04,24
2505,58.06,11.20,16
2507,58.40,11.25,80
2513,57.43,12.00,3
2515,58.12,12.09,20
2516,57.38,11.36,19
2518,57.18,11.54,2
2520,58.26,12.43,54
2521,58.36,12.25,55
2526,57.41,12.18,155
2536,57.47,13.10,299
2539,57.07,12.47,122
2540,58.36,12.12,174
2542,58.19,13.02,71
2544,58.31,14.30,94
2545,58.34,14.34,93
2546,58.53,14.23,212
2548,58.06,14.25,95
2549,57.30,14.28,356
2550,57.45,14.04,224
2552,58.04,15.14,197
2553,58.05,13.47,220
2554,58.43,15.02,225
2556,57.18,14.08,169
2557,57.53,15.52,91
2558,58.41,16.19,155
2559,57.42,16.28,31
2561,58.38,15.26,74
2562,58.24,15.32,93
2563,58.15,17.01,18
2565,57.23,15.48,98
2567,58.45,17.52,20
2574,58.35,16.09,42
2575,57.22,17.06,4
2587,57.55,18.57,13
2589,58.24,19.12,17
2590,57.40,18.21,47
