name,min,max,key,slide,step
location_id,,,shipOrMobileLandStationIdentifier,0,0
latitude__deg,-90,90,latitude,0,0
longitude__deg,-180,180,longitude,0,0
datetime,0,9999,year,0,0
datetime,1,12,month,0,0
datetime,1,31,day,0,0
datetime,0,23,hour,0,0
datetime,0,59,minute,0,0
