location,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
68442,-29.06,26.18,1353
68461,-28.15,28.20,1687
68512,-29.40,17.53,1006
68538,-30.40,24.00,1286
68588,-30.01,30.56,14
68592,-29.36,31.07,109
68816,-33.58,18.36,42
68842,-33.59,25.37,63
68858,-33.02,27.49,116
68906,-40.21,-9.53,54
68994,-46.53,37.52,24
70026,71.17,-156.47,12
70133,66.53,-162.37,5
70197,65.29,-144.40,252
70200,64.30,-165.26,12
70219,60.47,-161.50,42
70231,62.57,-155.36,103
70252,62.18,-150.25,151
70260,64.33,-149.05,110
70261,64.49,-147.53,135
70265,64.39,-147.04,167
70268,62.06,-145.58,573
70273,61.09,-149.59,44
70308,57.09,-170.13,9
70316,55.12,-162.43,32
70326,58.41,-156.40,16
70350,57.45,-152.29,35
70361,59.31,-139.40,13
70371,57.04,-135.21,20
70398,55.02,-131.35,35
70414,52.43,174.06,31
71069,55.18,-114.47,583
71072,48.22,-89.19,199
71115,50.13,-119.12,482
71119,53.33,-114.06,766
71120,54.25,-110.17,541
71121,53.40,-113.28,688
71129,51.31,-109.11,694
71136,49.54,-99.57,409
71145,53.51,-94.39,236
71600,43.55,-60.00,5
71621,44.07,-77.32,86
71625,45.57,-77.19,130
71627,45.28,-73.45,36
71701,45.50,-66.26,51
71716,46.54,-71.30,168
71721,46.16,-75.59,200
71801,47.37,-52.45,141
71851,49.54,-98.17,273
71852,49.55,-97.14,239
71853,49.47,-99.39,375
71861,50.22,-102.34,600
71866,52.10,-106.43,504
71869,53.13,-105.40,428
71874,66.50,-108.01,5
71876,52.46,-108.15,548
71877,51.07,-114.01,1084
71892,49.12,-123.11,4
71896,53.53,-122.41,691
72201,24.33,-81.47,5
72203,26.41,-80.06,6
72205,28.26,-81.19,32
72206,30.29,-81.42,11
72207,32.08,-81.12,15
72208,32.54,-80.02,14
72211,27.58,-82.32,3
72212,29.37,-83.06,13
72214,30.27,-84.18,53
72217,32.42,-83.39,110
72218,33.22,-81.58,45
72219,33.39,-84.25,315
72220,29.44,-85.02,6
72221,30.29,-86.31,29
72223,30.41,-88.15,67
72226,32.18,-86.24,62
72228,33.34,-86.45,192
72231,29.59,-90.15,9
72234,32.20,-88.45,94
72235,32.19,-90.05,91
72239,31.02,-93.02,110
72240,30.08,-93.13,6
72241,29.57,-94.01,7
72243,29.58,-95.21,33
72247,32.21,-94.39,124
72248,32.27,-93.50,85
72250,25.55,-97.25,8
72251,27.47,-97.30,15
72253,29.32,-98.28,242
72255,28.51,-96.55,36
72256,31.37,-97.13,155
72259,32.54,-97.02,182
72261,29.22,-100.55,315
72262,31.50,-104.49,1692
72263,31.22,-100.30,582
72265,31.57,-102.11,874
72266,32.25,-99.41,546
72267,33.39,-101.49,988
72268,33.18,-104.32,1118
72270,31.48,-106.24,1194
72273,31.35,-110.20,1428
72274,32.14,-110.57,747
72278,33.26,-112.01,337
72280,32.39,-114.36,34
72290,32.44,-117.10,9
72291,33.15,-119.27,174
72295,33.56,-118.24,32
72297,33.49,-118.09,12
72303,35.10,-79.02,61
72306,35.52,-78.47,134
72308,36.54,-76.12,9
72310,33.57,-81.07,69
72311,33.57,-83.19,247
72312,34.54,-82.13,296
72314,35.13,-80.56,234
72317,36.06,-79.57,277
72323,34.39,-86.46,196
72324,35.02,-85.12,210
72326,35.49,-83.59,299
72334,35.03,-90.00,87
72340,34.50,-92.16,173
72344,35.20,-94.22,141
72351,33.58,-98.29,314
72353,35.23,-97.36,398
72356,36.12,-95.53,195
72360,36.27,-103.09,1515
72363,35.14,-101.43,1095
72365,35.02,-106.37,1619
72370,35.16,-113.56,1033
72371,36.56,-111.27,1304
72374,35.01,-110.44,1488
72376,35.14,-111.49,2181
72383,34.45,-118.44,1379
72384,35.26,-119.03,150
72386,36.05,-115.10,664
72387,36.37,-116.01,1006
72389,36.46,-119.43,100
72393,34.45,-120.34,121
72401,37.30,-77.20,54
72402,37.56,-75.29,12
72405,38.51,-77.02,20
72406,39.11,-76.40,47
72407,39.27,-74.34,20
72408,39.53,-75.15,9
72410,37.20,-79.12,286
72411,37.19,-79.58,358
72412,37.47,-81.07,766
72414,38.22,-81.36,299
72417,38.53,-79.51,609
72421,39.03,-84.40,267
72422,38.02,-84.36,301
72423,38.11,-85.44,149
72424,37.54,-85.58,230
72425,38.22,-82.33,255
72428,40.00,-82.53,254
72432,38.03,-87.32,118
72434,38.45,-90.22,172
72438,39.44,-86.16,246
72439,39.51,-89.40,187
72440,37.14,-93.24,390
72445,38.49,-92.13,274
72446,39.17,-94.45,313
72450,37.39,-97.26,409
72451,37.46,-99.58,790
72452,37.18,-98.35,468
72456,39.04,-95.38,269
72458,39.33,-97.39,452
72462,37.26,-105.52,2299
72464,38.17,-104.30,1439
72465,39.22,-101.41,1124
72466,38.49,-104.43,1881
72469,39.46,-104.52,1612
72470,39.37,-110.45,1799
72476,39.07,-108.32,1473
72480,37.22,-118.22,1263
72481,37.22,-120.34,60
72488,39.30,-119.47,1341
72492,37.54,-121.15,8
72494,37.37,-122.23,5
72503,40.46,-73.54,9
72507,41.44,-71.26,19
72508,41.56,-72.41,55
72509,42.22,-71.02,9
72513,41.20,-75.44,289
72514,41.15,-76.55,160
72515,42.13,-75.59,497
72517,40.39,-75.26,117
72519,43.07,-76.07,124
72521,40.55,-81.26,377
72523,42.34,-77.43,209
72524,41.25,-81.52,245
72525,41.16,-80.40,361
72526,42.05,-80.11,225
72528,42.56,-78.43,218
72529,43.07,-77.40,169
72530,41.59,-87.54,205
72532,40.40,-89.41,202
72533,41.00,-85.12,252
72535,41.42,-86.19,236
72536,41.36,-83.48,211
72537,42.14,-83.20,202
72539,42.46,-84.36,266
72543,42.12,-89.06,226
72544,41.27,-90.31,181
72546,41.32,-93.39,294
72550,41.18,-95.54,299
72551,40.51,-96.45,362
72552,40.57,-98.19,566
72556,41.59,-97.26,473
72557,42.24,-96.23,336
72561,41.06,-102.59,1312
72562,41.08,-100.42,848
72564,41.09,-104.49,1872
72565,39.52,-104.40,1656
72567,42.52,-100.33,792
72569,42.55,-106.28,1612
72572,40.46,-111.57,1289
72575,41.12,-112.01,1353
72597,42.23,-122.53,399
72645,44.30,-88.07,210
72655,45.33,-94.04,312
72659,45.27,-98.25,400
72681,43.34,-116.13,873
72694,44.55,-123.00,62
72712,46.52,-68.01,191
72747,48.34,-93.24,362
72764,46.46,-100.46,505
72768,48.12,-106.38,694
72776,47.28,-111.23,1131
72797,47.56,-124.34,57
74230,46.26,-105.52,801
74468,38.50,-85.25,265
74486,40.39,-73.47,7
74494,41.39,-69.58,16
76225,28.40,-106.02,1472
76256,27.57,-110.48,12
76393,25.41,-100.16,515
76405,24.08,-110.19,18
76458,23.13,-106.25,3
76612,20.42,-103.24,1551
76644,20.57,-89.39,11
76654,19.03,-104.19,3
76679,19.24,-99.12,2235
76692,19.09,-96.07,19
76723,18.44,-110.57,34
76743,17.59,-92.55,6
76805,16.46,-99.45,3
78016,32.22,-64.41,4
78073,25.03,-77.28,7
78325,23.10,-82.21,50
78355,21.24,-77.51,122
78367,19.54,-75.08,23
78384,19.18,-81.21,3
78397,17.56,-76.47,14
78486,18.26,-69.53,14
78526,18.26,-66.00,4
78583,17.32,-88.18,5
78641,14.35,-90.31,1489
78666,13.26,-89.04,21
78720,14.03,-87.13,1007
78730,14.04,-83.38,20
78741,12.09,-86.10,56
78762,9.59,-84.11,908
78866,18.02,-63.07,4
78894,17.54,-62.51,45
78897,16.16,-61.31,8
78925,14.36,-61.00,8
78970,10.37,-61.21,15
80001,12.35,-81.43,6
80035,11.32,-72.56,4
80222,4.42,-74.09,2546
80241,4.33,-70.55,167
80398,-4.10,-69.57,84
80403,11.25,-69.41,17
80407,10.34,-71.44,65
80410,10.04,-69.19,614
80413,10.15,-67.39,437
80415,10.36,-66.59,48
80419,10.07,-64.41,7
80420,10.27,-64.11,4
80421,10.55,-63.58,19
80422,10.40,-63.15,10
80425,9.49,-70.56,28
80426,9.21,-70.37,582
80435,9.45,-63.11,66
80444,8.09,-63.33,48
80447,7.51,-72.27,378
80448,7.14,-70.48,131
80450,7.54,-67.25,48
80453,7.18,-61.27,181
80457,5.36,-67.30,74
80462,4.36,-61.07,907
80476,10.31,-71.39,26
81002,6.30,-58.15,30
81202,5.57,-57.02,2
81209,4.21,-54.25,52
81225,5.27,-55.12,15
81250,3.47,-56.09,323
81251,2.02,-56.07,265
81253,3.22,-57.20,165
81401,5.29,-54.02,5
81405,4.49,-52.22,9
81408,3.53,-51.48,7
81415,3.38,-54.02,107
82022,2.50,-60.42,140
82099,0.03,-51.04,17
82107,-0.07,-66.58,79
82193,-1.23,-48.29,16
82244,-2.26,-54.43,72
82280,-2.32,-44.18,51
82281,-2.36,-44.14,53
82332,-3.09,-59.59,84
82397,-3.46,-38.36,26
82400,-3.51,-32.25,56
82411,-4.15,-69.56,81
82599,-5.55,-35.15,52
82678,-6.46,-43.01,127
82704,-7.38,-72.40,170
82765,-7.20,-47.28,193
82824,-8.46,-63.55,102
82900,-8.03,-34.55,7
82917,-10.00,-67.48,143
82965,-9.52,-56.06,288
82983,-9.23,-40.29,370
83208,-12.42,-60.06,612
83229,-13.01,-38.31,51
83288,-13.16,-43.25,440
83362,-15.39,-56.06,187
83378,-15.52,-47.56,1061
83498,-17.44,-39.15,3
83525,-18.53,-48.13,943
83554,-19.00,-57.40,142
83566,-19.37,-43.58,828
83583,-19.51,-43.57,785
83612,-20.28,-54.40,567
83649,-20.16,-40.17,4
83650,-20.30,-29.19,5
83708,-22.47,-45.12,537
83746,-22.49,-43.15,6
83768,-23.20,-51.08,569
83778,-23.26,-46.28,750
83779,-23.30,-46.38,722
83780,-23.37,-46.39,803
83827,-25.31,-54.35,180
83840,-25.31,-49.10,908
83899,-27.40,-48.33,5
83928,-29.47,-57.02,74
83937,-29.43,-53.42,85
83971,-30.00,-51.11,3
84008,-0.54,-89.36,6
84203,-2.09,-79.53,6
84377,-3.47,-73.18,126
84401,-5.12,-80.36,55
84628,-12.01,-77.07,13
84658,-12.36,-69.13,201
85123,-13.46,-65.26,144
85201,-16.31,-68.11,4038
85244,-17.38,-63.08,373
85245,-17.48,-63.11,418
85442,-23.27,-70.26,113
85469,-27.10,-109.26,172
85586,-33.39,-71.37,73
85799,-41.26,-73.06,84
85934,-53.00,-70.51,38
86218,-25.14,-57.31,83
86743,-16.10,-40.41,210
86795,-19.53,-47.26,914
86804,-19.59,-40.35,990
86865,-22.19,-49.04,552
86876,-22.28,-43.17,1779
87047,-24.51,-65.29,1221
87155,-27.26,-59.03,52
87344,-31.18,-64.13,493
87418,-32.51,-68.48,704
87576,-34.49,-58.33,20
87623,-36.36,-64.17,191
87715,-38.57,-68.08,271
87860,-45.48,-67.28,46
88889,-51.49,-58.27,74
89002,-70.40,-8.15,42
89009,-90.00,0.00,2835
89022,-75.34,-25.30,30
89050,-62.12,-58.54,15
89055,-64.14,-56.38,200
89512,-70.46,11.50,124
89526,-71.57,23.21,1397
89532,-69.00,39.35,26
89542,-67.40,45.51,50
89564,-67.36,62.53,16
89571,-68.34,77.58,23
89592,-66.33,93.01,45
89611,-66.17,110.31,42
89625,-75.06,123.25,3234
89642,-66.40,140.00,43
89662,-74.42,164.06,93
89664,-77.51,166.40,24
89859,-74.37,164.14,29
91165,22.00,-159.21,32
91178,21.19,-158.04,15
91182,21.21,-157.56,5
91190,20.54,-156.26,20
91212,13.29,144.48,75
91275,16.44,-169.31,2
91285,19.43,-155.03,10
91334,7.27,151.51,3
91348,6.58,158.12,38
91366,8.44,167.44,8
91376,7.04,171.18,5
91408,7.20,134.29,30
91413,9.30,138.05,28
91557,-17.42,168.18,21
91577,-20.34,164.17,19
91582,-20.47,167.14,32
91592,-22.17,166.27,71
91610,1.21,172.55,4
91643,-8.31,179.13,2
91680,-17.45,177.27,24
91701,-2.46,-171.43,2
91762,-13.48,-171.47,2
91765,-14.20,-170.43,5
91792,-21.14,-175.09,41
91843,-21.12,-159.49,7
91925,-9.48,-139.02,53
91929,-16.27,-151.45,3
91938,-17.33,-149.37,2
91943,-14.27,-145.02,3
91945,-19.54,-144.57,3
91948,-23.08,-134.58,89
91954,-23.22,-149.32,6
91958,-27.37,-144.20,2
92014,-5.13,145.48,5
92035,-9.23,147.13,48
92044,-2.03,147.25,4
92047,-6.34,146.43,70
92076,-2.34,150.49,4
92087,-10.41,152.50,7
93012,-35.08,173.16,85
94120,-12.25,130.54,35
94150,-12.16,136.49,53
94170,-12.41,141.55,19
94203,-17.57,122.14,9
94212,-18.14,127.40,424
94214,-15.29,128.07,16
94238,-19.39,134.11,377
94256,-16.40,139.11,9
94287,-16.52,145.45,8
94294,-19.15,146.46,9
94299,-16.17,149.58,10
94300,-24.53,113.40,5
94302,-22.14,114.06,6
94312,-20.22,118.38,8
94326,-23.48,133.53,547
94332,-20.41,139.29,341
94346,-23.26,144.17,193
94367,-21.07,149.13,36
94374,-23.23,150.29,15
94380,-23.51,151.16,75
94403,-28.48,114.42,30
94430,-26.37,118.32,519
94461,-25.02,128.18,599
94510,-26.25,146.15,303
94578,-27.24,153.08,10
94610,-31.56,115.59,20
94637,-30.47,121.27,366
94638,-33.50,121.54,27
94647,-31.41,128.53,94
94653,-32.08,133.42,16
94659,-31.09,136.48,169
94672,-34.57,138.31,8
94693,-34.14,142.05,53
94711,-31.29,145.50,264
94750,-34.57,150.32,105
94767,-33.57,151.10,5
94776,-32.48,151.50,8
94791,-30.19,153.07,6
94801,-35.02,117.53,3
94802,-34.56,117.48,69
94821,-37.45,140.46,69
94862,-36.02,146.02,129
94865,-37.51,144.45,20
94866,-37.40,144.50,119
94907,-38.07,147.08,8
94910,-35.09,147.27,213
94926,-35.19,149.12,578
94975,-42.50,147.30,27
94995,-31.33,159.05,7
94996,-29.02,167.56,117
94998,-54.30,158.56,8
95527,-29.29,149.51,219
95571,-29.37,152.58,26
95679,-35.20,138.30,386
95966,-41.33,147.13,168
96009,5.14,96.57,87
96011,5.31,95.25,21
96035,3.38,98.53,25
96073,1.33,98.53,3
96075,1.10,97.42,6
96091,0.55,104.32,18
96109,0.28,101.27,31
96145,3.13,106.13,3
96147,3.55,108.24,2
96163,-0.48,100.17,3
96171,-0.21,102.20,46
96179,-0.29,104.35,31
96195,-1.38,103.39,25
96207,-2.46,101.22,782
96221,-2.54,104.42,10
96237,-2.10,106.08,33
96249,-2.45,107.45,44
96253,-3.53,102.20,16
96295,-5.06,105.11,96
96315,4.56,114.56,15
96413,1.29,110.20,27
96441,3.12,113.02,5
96449,4.20,113.59,18
96471,5.56,116.03,3
96481,4.16,117.53,20
96491,5.54,118.04,13
96509,3.20,117.34,6
96529,2.09,117.26,26
96535,1.46,109.18,15
96581,-0.09,109.24,3
96595,-0.57,114.54,60
96607,-0.29,117.09,230
96633,-1.16,116.54,3
96645,-2.42,111.42,25
96655,-2.14,113.57,27
96685,-3.26,114.45,20
96737,-6.07,106.08,40
96739,-6.14,106.39,46
96749,-6.07,106.39,8
96781,-6.54,107.35,740
96791,-6.45,108.16,50
96797,-6.51,109.09,10
96805,-7.44,109.01,6
96837,-6.58,110.25,3
96839,-6.59,110.23,3
96925,-5.51,112.39,3
96933,-7.13,112.43,3
96935,-7.22,112.47,3
96937,-7.13,112.43,3
96973,-7.02,113.55,3
96987,-8.13,114.21,5
96996,-12.11,96.50,4
97008,3.41,125.32,38
97014,1.33,124.55,80
97028,1.07,120.48,2
97048,0.38,122.51,2
97072,-0.55,119.54,6
97086,-1.02,122.46,2
97096,-1.25,120.39,2
97146,-3.57,122.37,50
97180,-5.04,119.33,14
97192,-5.29,122.34,2
97230,-8.45,115.11,1
97260,-8.29,117.25,3
97270,-8.33,118.42,2
97300,-8.38,122.14,3
97340,-9.40,120.18,12
97372,-10.10,123.40,108
97385,-9.12,124.22,5
97390,-8.34,125.34,6
97430,0.50,127.23,23
97460,-0.38,127.30,3
97502,-0.53,131.17,3
97530,-0.54,134.03,3
97560,-1.11,136.07,11
97600,-2.04,125.59,2
97686,-4.06,138.57,1660
97690,-2.35,140.31,99
97700,-3.14,127.06,20
97724,-3.43,128.05,12
97748,-3.53,130.54,3
97760,-3.39,133.42,3
97810,-5.40,132.44,12
97876,-6.06,140.18,16
97900,-7.59,131.18,24
97980,-8.31,140.25,3
98135,20.27,121.58,11
98223,18.11,120.32,5
98328,16.24,120.36,1501
98433,14.34,121.22,646
98437,13.22,122.31,45
98444,13.09,123.44,17
98618,9.44,118.46,18
98630,10.51,121.00,4
98646,10.19,123.59,24
98653,9.47,125.29,55
98753,7.07,124.39,18
98836,6.54,122.04,6
