name,datatype,min,max,key,slide,step,multiply
descriptor,int32,308009,308009,unexpandedDescriptors,0,0,0
location,string,,,shipOrMobileLandStationIdentifier,0,0,0
latitude [degree],float64,-90,90,latitude,0,0,0
longitude [degree],float64,-180,180,longitude,0,0,0
datetime,,0,9999,year,0,0,0
datetime,,1,12,month,0,0,0
datetime,,1,31,day,0,0,0
datetime,,0,23,hour,0,0,0
datetime,,0,59,minute,0,0,0
