category,subcategory,ft,tile_level,minute_level,sort_unique_list
gsm,upper_air,102,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,105,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,108,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,111,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,114,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,117,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,120,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,123,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,126,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,129,3,10,datetime;id;latitude [degree];longitude [degree]
gsm,upper_air,132,3,10,datetime;id;latitude [degree];longitude [degree]
